Board,Move,Score
01234O678,2,-9
0OX34O678,4,-6
0OX3XOO78,3,-3
0OXXXOO7O,7,-3
01234O678,3,-15
0O2X4O678,2,-3
0OXX4OO78,7,-3
OOXX4OOX8,4,-3
012X4O67O,2,-3
01XX4OO7O,7,-3
0OXX4OOXO,0,-3
01O345678,4,-27
01OOX5678,7,-6
0OOOX56X8,0,-6
XOOOX56XO,5,-6
O1X34O678,4,-3
O1X3XOO78,3,-3
O1XXXOOO8,8,-6
0O2345678,0,-6
XO2345O78,7,-3
XO234OOX8,4,-3
XO23XOOXO,2,-9
01O3X5O78,7,-3
0OO3X5OX8,0,-3
XOO3X5OXO,5,-6
0123456O8,6,-9
012O45XO8,5,-3
01OO4XXO8,4,-3
0OOOXXXO8,0,-3
O12345678,4,-24
O12OX5678,6,-3
O1OOX5X78,1,-3
OXOOX5XO8,5,-3
01234O678,4,-3
O123XO678,7,-6
OO23XO6X8,2,-6
OOX3XOOX8,3,-12
O12345XO8,1,-3
OX2O45XO8,8,-3
OXOO45XOX,5,-3
01234567O,4,-27
01O3X567O,5,-6
01OOXX67O,1,-3
0XOOXX6OO,6,-3
0123XO67O,2,-6
01X3XOO7O,7,-6
0OX3XOOXO,0,-9
012345O78,4,-15
0O23X5O78,5,-3
0O2OXXO78,0,-3
XO2OXXO7O,7,-3
01O3XO678,8,-9
O1O3XO67X,1,-9
OXO3XO6OX,6,-6
0123O5678,0,-9
X123OO678,3,-3
X12XOOO78,2,-3
XOXXOOO78,7,-3
0O2X4O678,8,-6
0O2X4OO7X,4,-6
OO2XXOO7X,2,-6
0123XOO78,2,-3
0OX3XOO78,0,-3
XOX3XOO7O,7,-3
01O3X5O78,3,-6
01OXXOO78,8,-6
O1OXXOO7X,1,-6
O123XO678,1,-3
OX23XO6O8,6,-3
OXO3XOXO8,8,-3
O123X567O,1,-3
OX23X56OO,6,-3
OXO3X5XOO,5,-9
0O2345678,7,-9
0OO3456X8,0,-3
XOO345OX8,4,-3
012O45678,5,-3
0O2O4X678,0,-3
XO2O4X67O,6,-3
XO2O4XXOO,4,-3
0123O5678,2,-3
01X3O5O78,0,-3
XOX3O5O78,7,-3
XOXOO5OX8,5,-6
OO23X5678,2,-3
OOX3X5O78,3,-3
OOXXXOO78,7,-3
0123X5OO8,8,-6
O123X5OOX,3,-6
O12XXOOOX,1,-3
0O234O6X8,2,-3
0OX34OOX8,4,-3
0O23O56X8,8,-3
0O23O5OXX,2,-6
0OX3OOOXX,3,-6
01OOXX67O,6,-3
01OOXXXOO,0,-9
01234O678,8,-6
0123OO67X,3,-3
012XOOO7X,2,-3
01XXOOOOX,1,-3
X1O3O5678,6,-6
X1OOO5X78,5,-6
X1OOOXX7O,1,-3
0OO3X5678,0,-3
XOO3X567O,5,-3
XOOOXX67O,7,-3
0OX3XOO78,7,-3
O123X56O8,8,-3
O123XO6OX,1,-6
OX23XOOOX,3,-3
012XOO678,2,-3
O1XXOO678,8,-3
O1XXOO6OX,1,-3
O1O3X5678,1,-3
OXO3X56O8,6,-3
OXO3XO6OX,3,-6
0123X56OO,6,-3
01O3X5XOO,5,-3
012OX567O,6,-3
01OOX5X7O,5,-3
0123O5678,8,-9
0123O56OX,1,-3
0XO3O56OX,6,-3
0XOOO5XOX,5,-3
01O3X5O78,1,-3
0XO3X5OO8,8,-3
OXO3X5OOX,3,-3
0123456O8,4,-3
O123X56O8,3,-3
O12XXO6O8,2,-3
0O23X567O,0,-3
XO23X5O7O,7,-3
0O23X567O,2,-3
0OX3X5O7O,7,-3
O123X5O78,3,-3
O12XXOO78,7,-3
OO2XXOOX8,2,-3
0O23O567X,7,-3
XOOOOXX78,7,-3
01234O6OX,4,-3
01O3O567X,6,-3
01O3O5XOX,1,-3
OXO3O5XOX,5,-3
O12XXOOOX,2,-3
0123O5678,6,-3
0123O5XO8,1,-3
OX23O5XO8,8,-3
OX2OO5XOX,5,-3
0123X5O7O,7,-3
0O23X5OXO,0,-3
O12345XO8,4,-3
O1O3X5XO8,1,-3
XO23O5678,7,-3
XO23O5OX8,2,-3
